Date Decided,Citation,Appellants,Respondents,Case Note





























































2022-08-08 (Page 99 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 100 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 101 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 102 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 103 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 104 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 105 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 106 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 107 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 108 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 109 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 110 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 111 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 112 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 113 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University",COULD NOT FIND CASE NOTE
" 29.08.2001

                               ",MANU/AP/0574/2001," M. Vijaya
                                       "," Chairman and Managing Director, Singareni Collieries Co., Ltd.,
                                  Hyd. and Ors.

","Constitution - violation of fundamental right - Articles 21 and 226 of
Constitution of India - writ petition filed praying for taking action against
respondent-company for causing infectious disease and for direction to
provide sufficient financial assistance - petitioner victim was infected with
dreadful disease of Acquired Immune Deficiency Syndrome (AIDS) owing to
negligence on part of hospital authorities under control of respondent-
company - relevant precautionary blood tests before transfusion of blood at
time of operation not conducted for detecting AIDS - no tests conducted on
petitioner at subsequent stages also - directions given to respondent to take
measures for rendering special treatment to HIV+ patients - held, petitioner
entitled to some reasonable amount of compensation to meet cost incurred
towards medical expenses by public law remedy in addition of civil remedy.

                                     "
" 07.08.2009

                       ",MANU/SC/1416/2009," Malay Kumar Ganguly
                                      "," Sukumar Mukherjee and Ors.
                     [Alongwith civil Appeal No. 1727 of 2007]

","Civil - Deficiency in Medical Service - Section 2 of Consumer Protection Act,
1986 - Complaint against deficiency in medical service - Dr. Mukherjee
instead of referring patient to a dermatologist, prescribed non permissible
dose of ""Depomedrol"". - The effect of immunosuppression caused due to the
use of steroids has affected the immunity of the patient and Dr. Mukherjee
has failed to take note of the said consequences - After taking over the
treatment of the patient and detecting TEN, Dr. Halder ought to have
necessarily verified the previous prescription that has been given to the
patient - Dr. Halder did not take any remedial measures against the excessive
amount     of   'depomedrol' and   by   prescribing  a  quick   acting  steroid
'Prednisolone' at 40mg, which is an excessive dose, that was added more fuel
to the fire - 'Vital-signs' of a patient such as temperature, pulse, intake-
output and blood pressure were not monitored and failure to ensure that
these factors are monitored regularly is an act of negligence - Dr. Abani Roy
Chowdhury failed to provide any supportive therapy or advise for providing IV
fluids or other supplements that is a necessity for the patient who was
critically ill - Respondents liable for medical negligence.
Interpretation - Criminal Negligence - The jurisprudential concept of
negligence differs in civil and criminal law - For negligence to amount to an
offence the element of mens rea must be shown to exist - To prosecute a
medical professional for negligence under criminal law it must be shown that
the accused did something or failed to do something which in the given facts
and circumstances no medical professional in his ordinary senses and
prudence would have done or failed to do.

Ratio Decidendi:




     08-08-2022 (Page 1 of 54) www.manupatra.com        OP Jindal Global UniversityFor criminal prosecution of a medical professional for negligence, it must be
shown that the accused did something or failed to do something which in the
given facts and circumstances no medical professional in his ordinary senses
and prudence would have done or failed to do.

                                      "
" 26.09.2019

                    ",MANU/KE/5968/2019," Maniyamma Vasudevan Nair
                                       "," Pushpagiri Hospital and Ors.

","Torts - Damages for medical negligence--Negligence is failure to exercise
reasonable care and attention expected from a skilled professional--Mere
error in identifying the disease or lack of high skill will not amount to
negligence.

Gynaecologist on the ground that though the plaintiff's abdomen was opened, and
the Doctor did not take any steps to surgically remove or repair any internal
organ and closed the incision which lead to recurrence of severe pain.
Plaintiff alleged that the Doctor acted negligently as a result of which she
was not in a position to take up employment. Plaintiff claimed    ' 1,00,000 as
damages. On the other hand, defendants contended that Hysterectomy
operation was not done as plaintiff's internal organs were in such a position
that the operation could not be done. Trial Court dismissed the suit and
appeal was taken. The learned Single Judge held that Negligence is failure to
exercise reasonable care and attention expected from a skilled professional
and mere error in identifying the disease or lack of high skill may not amount
to negligence. On facts, the Court held that there is no reason to reverse the
decision of trial Court and;

Held:

In order to fasten liability on a medical practitioner, the court has to ascertain
whether there was intentional act or omission or failure on his/her side in
administering treatment to one's patient. If only there was breach or failure
to follow the practice acceptable on the part of medical professional and
reasonable care, attention and requisite skill expected from an expert, were
not provided to save a patient from acute emergency, negligence can be
attributed against a doctor. A doctor who is treating a patient may only think
to relieve him/her from the sufferings and the well being of the patient will
be the sole aim of the doctor and normally with all care and skill the doctors




     08-08-2022 (Page 1 of 12)  www.manupatra.com        OP Jindal Global Universitywill try their level best to save the patient. Normally, a doctor will be taking
the effort and risk even in cases where hard and risk factors are involved with
the ultimate aim to save the patient and he/she will be satisfied only if the
best treatment is provided to the patient. But, unfortunately an error or
wrong judgment may happen in rare cases. It is well-settled that a mere error
or a mistake in identifying the disease or lack of high skill may not amount to
negligence. Negligence is a failure to exercise appropriate care and attention
expected to be exercised in the circumstances. Failure to attend or to give
prompt treatment in case of emergency, administration of drug by way of
injection, without test dose or adequate precautions, when there is possibility
of drug allergy or sensitivity, will amount to negligence. If requisite skill,
reasonable attention and reasonable care are provided to a patient, a doctor
can not be said to be negligent in his activities. But mistake or error of
Judgment does not necessarily establish negligence. [21]

                                     "
" 05.08.2019

                           ",MANU/KE/3781/2019," Mohammed Haneef
                                         "," State of Kerala and Ors.

",COULD NOT FIND CASE NOTE
" 24.11.2017

                           ",MANU/KE/1894/2017," Moideen E.M.
                                      "," State of Kerala and Ors.

","Transplantation of Human Organs and Tissues Act, 1994 (Central Act 42 of
1994) - Donees seeking permission of the court to take out a paper
publication seeking kidney from willing altruistic donors--Publication cannot
be permitted as it may lead to financial arrangements between the donor and
the donee.

Petitioners are persons who are affected by renal complaints and need kidney
transplantation. They seek permission of court to take out publication in print
media seeking a Kidney from willing altruistic donors. High Court had granted
permission to take out such publication on a case to case basis. Government
contended that though the publication may not have an indication explicitly;
it could lead to a payment arrangement, which is prohibited by law. It was
also pointed out that once publication is permitted there is no safeguard in
place to prohibit commercial dealings in human organs and tissues. On a
detailed  examination    of  the   procedure   involved  for  making    kidney
transplantation and after hearing all the stakeholders, the learned Single
Judge held that publication cannot be permitted as it may lead to financial
arrangements between the donor and the donee. Petitioners were directed to
seeking organ donation from unrelated persons. Disposing of the writd of
petitions;

Held:

This Court is of the opinion that any publication permitted could lead to
negotiations and merely because        there   is no explicit   offer in   the
advertisements, it cannot be inferred that there would not be any passing of




     08-08-2022 (Page 1 of 8)  www.manupatra.com       OP Jindal Global Universityconsideration or an arrangement negotiated. Truly altruistic motives will also
not be directed against an individual and life of one is as precious of yet
another. [18]

                                      "
" 06.09.2018

                      ",MANU/SC/0947/2018," Navtej Singh Johar and Ors.
                                         "," Union of India (UOI) and Ors.

","Constitution - Validity of provision - Section 377 of Indian Penal Code, 1860
(IPC) and Articles 14, 15, 19, and 21 of Constitution of India, 1950 - Writ
and ""right to choice of a sexual partner"" to be part of the right to lifeutonomy""
guaranteed Under Article 21 of Constitution of India and further to declare
Section 377 of IPC to be unconstitutional- Whether Section 377 of IPC as it
criminalises consensual sexual acts of adults (i.e. persons above the age of 18
years who were competent to consent) in private, was violative of Articles 14,
15, 19, and 21 of Constitution.




     08-08-2022 (Page 1 of 207)   www.manupatra.com         OP Jindal Global UniversityFacts

Writ Petition was filed for declaring ""right to sexuality"", ""right to sexual
autonomy"" and ""right to choice of a sexual partner"" to be part of the right to
life guaranteed under Article 21 of the Constitution of India and further to
declare Section 377 of IPC to be unconstitutional.It is urged by the learned
Counsel for the Petitioners that individuals belonging to the LGBT group suffer
discrimination and abuse throughout their lives due to the existence of Section
377 of IPC which is nothing but a manifestation of a mindset of societal values
prevalent during the Victorian era where sexual activities were considered
mainly for procreation. The said community remains in a constant state of fear
which is not conducive for their growth. It is contended that they suffer at the
hands of law and are also deprived of the citizenry rights which are protected
